id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
876996002748010842,Ideal for long stays | elegant suite Boston views,416027128,Naveen,,Brighton,42.34786,-71.14511,Entire home/apt,194,1,86,2025-05-30,3.44,38,61,29,STR-569353
878794587007595979,Charming South End Farmhouse - Near Northeastern!,74782650,Holly,,Roxbury,42.33467151684205,-71.08334665548122,Entire home/apt,440,2,142,2025-06-02,5.45,5,264,64,STR-525603
879147136417316325,Cute Studio in Longwood/Fenway,406353986,Cassandra And Michael,,Mission Hill,42.333891348395305,-71.1064474663934,Entire home/apt,199,2,41,2025-05-25,2.29,18,201,24,STR-545176
879147142976191744,Stylish Compact Efficiency Unit - Longwood/Fenway,406353986,Cassandra And Michael,,Mission Hill,42.33285,-71.10488,Entire home/apt,140,2,83,2025-05-30,3.51,18,151,50,Str-545178
880668314027190648,Private Room Near Boston University Medical Campus,447259209,Gennady Arik,,Roxbury,42.33734830810711,-71.07831660658121,Private room,69,29,10,2024-07-31,0.39,1,48,1,STR-526853
881255998576454199,Victorian Home in Boston,7506334,Leah,,Roslindale,42.29281338323787,-71.13442631838394,Entire home/apt,,3,2,2024-12-27,0.08,1,0,1,STR-528092
882839165476645155,"Furnished Private Condo, Short Term Rental!",512880683,Michael,,South Boston,42.3295,-71.05785,Entire home/apt,161,30,0,,,1,263,0,STR-486031
883551925352400121,"Boston 1bed/living, 7minute to T",40995423,Jade,,Dorchester,42.31941973770849,-71.05791710297277,Entire home/apt,95,31,0,,,9,292,0,
883863319226431674,Eastie near the airport Great location,38381764,Ivan,,East Boston,42.37885436946893,-71.0319274351848,Entire home/apt,224,2,41,2025-06-15,1.59,1,41,22,STR-541684
883927278367713777,Boston by the beach with patio & private bathroom!,11766878,Jillian,,South Boston,42.336180098174786,-71.02861688707804,Private room,151,1,37,2024-11-11,2.39,2,65,24,STR-537705
884174528455012518,"Seaport Gem:Stylish 2BR/2BA Condo, Luxurious touch",163848078,Adam,,South Boston Waterfront,42.348344237681346,-71.04350941620852,Entire home/apt,599,29,3,2023-06-25,0.12,95,365,0,str-007936
885495157165932137,Luxury 2BR 2BA apt in Seaport,163848078,Adam,,South Boston Waterfront,42.34810609018592,-71.04383557070938,Entire home/apt,599,29,0,,,95,365,0,STR-354617
886120883825067654,"New Boston 1bed/living, close T",151248865,Yao,,Dorchester,42.3194004182431,-71.05758102174532,Entire home/apt,100,29,1,2023-10-01,0.05,7,361,0,
886281829949013984,Charming New England Artist House,186813303,Maya,,Jamaica Plain,42.31445,-71.09751,Entire home/apt,250,2,10,2025-05-18,0.41,1,353,3,STR-528400
886761634149846872,"Blueground | Back Bay, gym & w/d, nr restaurants",107434423,Blueground,,Back Bay,42.348645,-71.0793489,Entire home/apt,331,32,0,,,369,307,0,
887651543834186054,Charming vintage apartment!,45170293,Melissa,,Dorchester,42.2905563,-71.0523528,Entire home/apt,159,2,69,2025-06-03,2.72,1,126,35,STR-525637
889355642762842640,"Downtown Studio Apt, Perfect for Medical Workers",2356643,StayNue,,Downtown,42.3507,-71.06544,Entire home/apt,103,29,1,2023-06-03,0.04,32,359,0,STR-422488
889981292721825976,Upscale South End Apt | Walk to Northeastern,31340713,Kama,,Roxbury,42.33726387317135,-71.0835430418494,Entire home/apt,,30,4,2023-12-22,0.16,39,365,0,Exempt: This listing is a unit used for furnished institutional or business stays
